시도별,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원도,48790,56900,48390,49630,41660,42220,41470,34690,40190,39290,42370,41730,33350,41770,36230,37050,39110,43640,39540,42610,42760,43100,42040,42590,44260,40500,45560,45320,45640,46800,34120,44200,44330,47590,47250,43850,45060,57700,55980,56710,56470,52170,55940,83410
전라남도,69160,70210,77570,79380,74420,75600,85330,87300,69530,84240,93640,83310,83990,69690,66430,63190,64170,63160,62760,60450,65360,61750,60180,60790,69780,62170,68160,67810,69780,77640,70740,80850,70020,73860,90760,91750,86210,83800,85230,79970,82800,80100,83840,116000
