지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균최저기온(°C),평균최고기온(°C),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2)
100,강원도,1993,5.7,-23.4,25.3,1.1,10.4,2353.6,349,19930810,74.4,2074.4,46.6,4295.27
100,강원도,1994,7.3,-20.4,31,2.7,12.7,1444.1,139.3,19941012,71.3,2331.3,52.37,4657.77
100,강원도,1995,6.1,-19,29.3,1.6,11,1337.8,101.6,19950825,67.6,2249.5,50.53,4555.44
100,강원도,1996,6,-20.1,29.5,1.5,10.8,1439.1,94.5,19960617,70.3,2145.4,48.09,4450.72
100,강원도,1997,6.7,-20.6,29,2,11.4,1760.5,101,19970701,72.4,2236.3,50.23,4423.88
100,강원도,1998,7.5,-21.5,27.3,3.4,11.6,2998.3,256,19980930,76.6,1922,43.18,3719.92
100,강원도,1999,7,-20,30.1,2.7,11.8,2199.2,233.1,19990920,72.3,2243.3,50.39,4321.3
100,강원도,2000,6.9,-20.2,30.3,2.2,11.9,1559.4,175.8,20000914,71.2,2183.4,48.95,4336.01
100,강원도,2001,7.5,-25.6,31.3,2.8,12.8,1551.7,83.5,20010921,74.1,2190,49.2,5159.1
100,강원도,2002,7.5,-19.2,30.6,2.9,12.7,2697.6,712.5,20020831,73.9,2145.1,48.16,4946.77
100,강원도,2003,6.8,-22.6,29.2,2.3,11.8,2685.4,216,20030912,79.9,1814,40.72,4340.59
100,강원도,2004,7.8,-24.3,31.3,3,13.3,1815.5,192.5,20040819,72.4,2278.1,51.04,4937.35
100,강원도,2005,6.6,-21,32.3,1.9,11.9,1881.1,179,20050906,73.3,2267.5,50.9,4913.33
100,강원도,2006,6.9,-23.5,30.6,2.4,12.1,2112.9,171.5,20061023,76.2,1861.3,41.78,4687.08
100,강원도,2007,7.6,-20,30.2,3.1,12.6,1401.1,76.5,20070710,75.3,1903.7,42.74,4976.09
100,강원도,2008,7.2,-26.2,30.1,2,12.4,1128.6,212.5,20080724,74.2,2084.4,46.7,5240
100,강원도,2009,7.4,-18.6,29.9,2.4,12.6,1331.7,159,20090712,72.6,2071.6,46.51,5173.58
100,강원도,2010,7.2,-24,30.1,2.4,12.2,1217.3,85,20100912,72.8,1999.6,44.89,5134.83
100,강원도,2011,6.8,-23.8,28.3,1.7,11.8,1762.1,126.5,20110624,72.1,2073,46.53,5060.21
100,강원도,2012,6.5,-23.5,30.7,1.5,11.6,1288.7,123.5,20120706,73.5,2363.7,52.95,4927
100,강원도,2013,7.5,-26.8,30.1,2.5,12.7,1052.3,122,20130715,73.2,2467.1,55.39,5055.32
100,강원도,2014,7.7,-19.8,30.6,2.3,13,1308.2,127,20140810,73.5,2382.3,53.49,4896.93
100,강원도,2015,8,-19.8,30,2.7,13.4,981.9,201.5,20150825,72.5,2570.8,57.71,5091.41
100,강원도,2016,8.1,-23,32.4,2.9,13.5,1184,152.5,20160828,72.9,2719.4,60.92,5111.95
100,강원도,2017,7.3,-21.1,31.1,2,12.5,1025.3,132.1,20170702,71.3,2909,65.31,5245.9
100,강원도,2018,7.2,-24.4,32.9,2,12.5,1731.4,81.5,20180518,71.9,2661,61.55,5013.13
100,강원도,2019,8.1,-20.1,30.2,2.7,13.6,1198.5,118,20190922,74.2,2590.2,58.14,5408.38
100,강원도,2020,7.8,-24,31.6,2.7,13.1,1755.8,137.3,20200907,77.1,2520.3,56.46,5488.78
100,강원도,2021,7.9,-24.3,30.6,2.9,13.3,1027.3,69,20210901,75.7,2451,55.02,5390.17
100,강원도,2022,7.6,-21.8,30.3,2.2,13.2,1361.2,101.9,20220809,70.8,2500.5,57.37,5582.71
100,강원도,2023,7.6,-21.8,30.3,2.2,13.2,1361.2,101.9,20220809,70.8,2500.5,57.37,5582.71
184,제주도,1982,15.4,-2.2,34,12.1,18.7,1248,100.5,19820813,72.3,1978.3,44.65,4902.17
184,제주도,1983,15.6,-2.9,34.2,12.4,18.8,1373.6,188.2,19830927,74.2,1688.1,37.98,4532.73
184,제주도,1984,14.8,-4,34,11.9,18,878.5,72.8,19840820,72.8,1972.5,44.28,4879.77
184,제주도,1985,15.4,-3.6,33.9,12.4,18.6,2420.6,248.7,19850627,71.4,1831.3,41.2,4494.1
184,제주도,1986,14.7,-3.5,34.3,11.6,17.9,1828.6,224.5,19860828,71.8,1797.5,40.44,4714.04
184,제주도,1987,15.4,-3,35.4,12.3,18.9,1719.4,163.6,19870715,70.1,1837.5,41.34,4535.84
184,제주도,1988,15.2,-2.3,34.6,12.3,18.5,1084.6,147,19880726,73.9,2093.7,47,4599.48
184,제주도,1989,15.7,-1.7,33.3,12.8,18.8,1358.6,188.5,19890908,77.1,1959.9,44.09,4371.01
184,제주도,1990,16.4,-4.5,37,13.3,19.5,1544.5,113.2,19900701,73.5,1952.5,43.92,4322.84
184,제주도,1991,15.5,-3.3,34.4,12.7,18.5,1810.9,119.1,19910704,68.8,1841.6,41.43,4252.42
184,제주도,1992,15.9,0.4,34.5,13,19.1,1232.9,59.4,19920812,72.8,1899.3,42.64,4167.46
184,제주도,1993,15.2,-0.8,34.5,12.3,18.3,1552.8,132.2,19930807,72.3,1583.6,35.62,3922.15
184,제주도,1994,16.5,-0.6,34.6,13.5,19.6,1448.9,189.3,19941011,70.3,2159.7,48.58,4692.07
184,제주도,1995,15.6,0.3,35.8,12.7,18.6,1472.9,204.5,19950820,71.9,1945.8,43.77,4264.42
184,제주도,1996,15.7,-1.5,35.5,12.7,18.9,881.1,47.1,19960619,69,1915,42.99,4047.18
184,제주도,1997,16.4,-0.9,34.4,13.5,19.4,999.5,86.4,19971125,70.6,1908.2,42.92,4261.5
184,제주도,1998,17,-2.9,37.4,14.1,20,1581.1,219,19980929,74.9,1807.4,40.66,4436.99
184,제주도,1999,16,-1.6,32.8,13.2,19.1,2526,248.2,19990803,71.2,1656.3,37.26,4389.35
184,제주도,2000,15.7,-1.7,36,12.7,18.8,1189.4,147.5,20000915,66.3,2046.2,45.92,4799.21
184,제주도,2001,16.1,-3.1,35.8,13.2,19.3,1388.6,73,20010809,65.1,1910.1,42.97,4685.87
184,제주도,2002,15.8,0.6,35,13.1,18.7,1704.1,215,20020705,67.9,1794.9,40.35,4559.42
184,제주도,2003,15.7,-2.1,34.3,13,19.1,1999.2,231.5,20030912,72.2,1757,39.5,4597.3
184,제주도,2004,16.4,-3.2,34.3,13.4,20,1333.8,186.5,20040911,67.1,2106.3,47.25,5044.28
184,제주도,2005,16.2,-1.5,34.7,13.5,19.3,872.5,98.5,20050807,63.7,1771,39.81,5086.58
184,제주도,2006,16.2,-1.8,34,13.5,19.4,1527.4,161.5,20060630,64.3,1704.7,38.32,4791.09
184,제주도,2007,16.5,0.8,34,13.8,19.5,2139.8,420,20070916,61.8,1671.8,39.07,4735.87
184,제주도,2008,16,-0.5,34.8,13.4,19,1308.8,87.5,20080810,63.9,1687,37.94,4856.76
184,제주도,2009,16,-2.5,33.6,13.1,19.1,1304.8,124,20090827,62.5,1764.7,39.67,5065.12
184,제주도,2010,15.6,-2.3,35.8,12.7,18.9,1584.9,122,20100713,66.5,1681.8,38.07,4877.39
184,제주도,2011,15.6,-2.8,34.7,13,18.5,1478.6,299,20110807,68.7,1720,38.66,5053.8
184,제주도,2012,15.7,-2.8,34.9,13.1,18.6,2248.3,206,20120917,71.3,1693.4,37.98,4760.73
184,제주도,2013,16.5,-1.8,36.3,13.5,19.8,859.1,70.1,20130406,72.1,1990.2,44.73,4963.44
184,제주도,2014,16.2,0.1,35.2,13.6,19.1,1563.4,134.7,20140706,70.3,1755.5,39.46,4695.68
184,제주도,2015,16.7,-0.7,36.7,14.1,19.8,1728.3,98.9,20150711,70.9,1826.6,41.06,4861.18
184,제주도,2016,17,-5.8,35.5,14.4,20.2,1416.4,158.5,20161005,71.9,1718.4,38.54,4743.41
184,제주도,2017,16.8,-1.1,37,14,20,773.3,67.5,20171002,67.5,1981.3,44.53,5193.92
184,제주도,2018,16.6,-2.6,35.3,13.9,19.8,1769.5,310,20181005,71.1,1939.7,43.6,5045.31
184,제주도,2019,16.8,1,35.4,14.2,19.9,1979.9,187.7,20190719,69.8,1909.9,42.93,5007
184,제주도,2020,16.7,-1.4,36.3,14,20,1389.5,183.6,20200902,69.2,1890.3,42.4,5004.37
184,제주도,2021,17.5,-3.1,34.2,14.6,21,1627.7,155.3,20210731,70.7,1965.3,44.18,5080.15
184,제주도,2022,17,-0.4,37.5,14.1,20.5,1075.8,174,20220905,71.3,2012.2,45.23,5121.15
184,제주도,2023,17,-0.4,37.5,14.1,20.5,1075.8,174,20220905,71.3,2012.2,45.23,5121.15
