"시도별",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"시도별",건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg),건고추:10a당 생산량 (kg)
"충청남도",91,96,106,146,96,134,137,116,176,176,183,176,185,190,175,181,203,239,215,282,254,258,233,216,227,221,227,274,234,228,209,124,205,256,247,316,301,194,284,252,159,293,242,244
"경상남도",88,99,134,109,88,113,153,135,215,168,194,170,190,174,158,191,218,216,221,218,182,219,202,194,249,274,164,286,274,266,192,216,226,266,194,279,269,265,255,239,206,253,215,206
