"시도별",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"시도별",포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg),포도:10a당 생산량 (kg)
"충청북도",592,602,1016,933,833,811,930,922,960,953,794,907,900,877,1039,1057,1434,1288,1136,1875,1784,1979,1580,1353,1733,1749,1782,1778,1883,1639,1514,1310,1363,1189,1476,1470,1195,1355,1408,1273,1392,1488,1706,-
"충청남도",897,933,984,1032,975,1141,1122,1123,1194,1263,996,1203,1205,1203,1226,1084,1237,1276,1266,1509,1797,1915,1563,1542,1651,1743,1615,1793,1646,1489,1416,1032,966,996,1001,1200,1309,890,956,969,821,829,892,-
"경상북도",678,720,695,883,662,817,835,765,754,801,778,868,857,872,1070,1381,1423,1422,1415,1490,1597,1542,1658,1509,1587,1762,1761,1777,1916,1600,1510,1285,1493,1397,1477,1550,1725,1595,1416,1305,1250,1256,1271,-
